coil_type,turns1,turns2,r1,r2,wire_d,pitch1,pitch2,Lcore,Lpri,Lsec,L
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.000893525493403593,0.00185449231020564,0.00505995578533741,5.40515903666782e-06,1.58764418414086e-05,2.12816008780764e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.0013956488050854,0.00126666749401192,0.00569811965617736,5.32161160348972e-06,1.79495684871622e-05,2.32711800906519e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.000770353258813671,0.00137296625320239,0.00734099463500602,5.59115826436358e-06,2.5565623895477e-05,3.11567821598406e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00143748307967856,0.00148043643359434,0.00601327119550145,5.26352723156769e-06,2.03366413499611e-05,2.56001685815288e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00190875249340543,0.00190285466361277,0.0054001085842459,5.02296039842897e-06,1.60137541035805e-05,2.10367145020094e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00119191926572953,0.000781263804193301,0.00611774311019124,5.5274458423489e-06,2.08297334590651e-05,2.6357179301414e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.000787822569452296,0.0013123487110403,0.00575454723862728,5.59856830813734e-06,1.78627496482962e-05,2.34613179564336e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.000776911739662701,0.00156238701913651,0.00768732112408959,5.53593555785119e-06,2.69383067904522e-05,3.24742423483034e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00123720506294193,0.00160803713320037,0.00595091207283079,5.31941423955596e-06,1.98941210267865e-05,2.52135352663425e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.000926267992441565,0.0015634225741446,0.00757024114597931,5.46389316864001e-06,2.67181834020224e-05,3.21820765706624e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.000752710019833767,0.000959641540254955,0.00779862136000705,5.71947885256107e-06,2.75419994002002e-05,3.32614782527613e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00167774529845536,0.0011295704538891,0.00647549661600483,5.22589401434355e-06,2.13300813698524e-05,2.65559753841959e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00134427505301246,0.00119722405161633,0.0078445515809673,5.35804215555216e-06,2.70876323045828e-05,3.2445674460135e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00107002493383807,0.00174597912512926,0.00624887176975527,5.35712287381659e-06,2.03739297311673e-05,2.57310526049838e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00184621355338959,0.00106439947387998,0.00794294179409753,5.16751606953695e-06,2.72861351303005e-05,3.24536511998374e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00084917881426307,0.00100338923197163,0.00536579919440916,5.65063671720846e-06,1.70268459799552e-05,2.26774826971637e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00188464705795633,0.00197380750903358,0.00713045424791713,5.02065446682558e-06,2.32343058155345e-05,2.82549602823601e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00110941745456277,0.00075714122473767,0.00662737255220954,5.57744437424565e-06,2.25103790074417e-05,2.80878233816873e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00183144903662862,0.00199963537795443,0.00630820414396916,5.03392084477926e-06,2.00854701546831e-05,2.51193909994624e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00157815694491754,0.00153148887316746,0.00690228086498016,5.19863599264062e-06,2.28980703521225e-05,2.80967063447631e-05
