coil_type,turns,turns2,r1,r2,wire_d,pitch1,pitch2,Lcore,Lpri,Lsec,L
bobinaL4,4.5,2,0.00075,0.00125,0.0005,0.0013343694289115,0.00175760384305886,0.00246398788362281,4.4574163580287e-08,2.74412115427035e-09,4.73182847345573e-08
bobinaL4,4.5,2,0.00075,0.00125,0.0005,0.00117207223097765,0.00105621679415972,0.00246398788362281,4.96824536643995e-08,7.89608032046577e-09,5.75785339848652e-08
bobinaL4,4.5,2,0.00075,0.00125,0.0005,0.000869982994705547,0.000765125264608953,0.00246398788362281,5.6058340761474e-08,5.90481558473274e-09,6.19631563462067e-08
bobinaL4,4.5,2,0.00075,0.00125,0.0005,0.00161332243016418,0.00152629316239309,0.00246398788362281,4.72046671128592e-08,8.81989700273604e-09,5.60245641155953e-08
bobinaL4,4.5,2,0.00075,0.00125,0.0005,0.00195378638611862,0.00135052500529723,0.00246398788362281,4.60698761872785e-08,6.5222750684069e-09,5.25921512556854e-08
